País de residencia,Total Nacional,Comunidades y Ciudades Autónomas,Total
156 Macedonia,TOTAL,País Vasco,..
156 Macedonia,TOTAL,Rioja,
156 Macedonia,TOTAL,Ciudad autónoma de Ceuta,..
156 Macedonia,TOTAL,Ciudad autónoma de Melilla,..
118 Malta,TOTAL,,500
118 Malta,TOTAL,Andalucía,84
118 Malta,TOTAL,Aragón,11
118 Malta,TOTAL,Asturias,
118 Malta,TOTAL,Balears,
118 Malta,TOTAL,Canarias,19
118 Malta,TOTAL,Cantabria,9
118 Malta,TOTAL,Castilla y León,20
118 Malta,TOTAL,Castilla-La Mancha,10
118 Malta,TOTAL,Cataluña,61
118 Malta,TOTAL,Comunitat Valenciana,29
118 Malta,TOTAL,Extremadura,9
118 Malta,TOTAL,Galicia,54
118 Malta,TOTAL,Madrid,
118 Malta,TOTAL,Murcia,
118 Malta,TOTAL,Navarra,
118 Malta,TOTAL,País Vasco,13
118 Malta,TOTAL,Rioja,
118 Malta,TOTAL,Ciudad autónoma de Ceuta,..
118 Malta,TOTAL,Ciudad autónoma de Melilla,..
137 Moldavia,TOTAL,,9
137 Moldavia,TOTAL,Andalucía,1
137 Moldavia,TOTAL,Aragón,..
137 Moldavia,TOTAL,Asturias,
137 Moldavia,TOTAL,Balears,
137 Moldavia,TOTAL,Canarias,..
137 Moldavia,TOTAL,Cantabria,..
137 Moldavia,TOTAL,Castilla y León,..
137 Moldavia,TOTAL,Castilla-La Mancha,..
137 Moldavia,TOTAL,Cataluña,..
137 Moldavia,TOTAL,Comunitat Valenciana,1
137 Moldavia,TOTAL,Extremadura,..
137 Moldavia,TOTAL,Galicia,..
137 Moldavia,TOTAL,Madrid,
137 Moldavia,TOTAL,Murcia,
137 Moldavia,TOTAL,Navarra,
137 Moldavia,TOTAL,País Vasco,1
137 Moldavia,TOTAL,Rioja,
137 Moldavia,TOTAL,Ciudad autónoma de Ceuta,..
137 Moldavia,TOTAL,Ciudad autónoma de Melilla,..
119 Mónaco,TOTAL,,193
119 Mónaco,TOTAL,Andalucía,27
119 Mónaco,TOTAL,Aragón,1
119 Mónaco,TOTAL,Asturias,
119 Mónaco,TOTAL,Balears,
119 Mónaco,TOTAL,Canarias,1
119 Mónaco,TOTAL,Cantabria,6
119 Mónaco,TOTAL,Castilla y León,9
119 Mónaco,TOTAL,Castilla-La Mancha,2
119 Mónaco,TOTAL,Cataluña,45
119 Mónaco,TOTAL,Comunitat Valenciana,10
119 Mónaco,TOTAL,Extremadura,1
119 Mónaco,TOTAL,Galicia,16
119 Mónaco,TOTAL,Madrid,
119 Mónaco,TOTAL,Murcia,
119 Mónaco,TOTAL,Navarra,
119 Mónaco,TOTAL,País Vasco,1
119 Mónaco,TOTAL,Rioja,
119 Mónaco,TOTAL,Ciudad autónoma de Ceuta,..
119 Mónaco,TOTAL,Ciudad autónoma de Melilla,..
158 Montenegro,TOTAL,,13
